noun_id;noun;verbs
0;laptop;['drying hands/face', 'laundry', 'making tea', 'drinking water/bottle', 'making cold food/snack', 'eating food/snack', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'using cell', 'making bed', 'cleaning house', 'reading book', 'writing', 'putting on shoes/sucks', 'drinking coffee/tea']
1;bottle;['combing hair', 'make up', 'brushing teeth', 'dental floss', 'washing hands/face', 'drying hands/face', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'using cell', 'making bed', 'cleaning house', 'writing', 'drinking coffee/tea', 'grabbing water from tap', 'grabbing water from tap']
2;mug/cup;['combing hair', 'make up', 'brushing teeth', 'dental floss', 'washing hands/face', 'drying hands/face', 'adjusting thermostat', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'taking pills', 'watching tv', 'using computer', 'using cell', 'cleaning house', 'reading book', 'writing', 'drinking coffee/tea', 'grabbing water from tap', 'grabbing water from tap']
3;door;['combing hair', 'make up', 'brushing teeth', 'dental floss', 'washing hands/face', 'drying hands/face', 'adjusting thermostat', 'laundry', 'washing dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'using cell', 'making bed', 'cleaning house', 'reading book', 'using_mouth_wash', 'writing', 'putting on shoes/sucks', 'drinking coffee/tea']
4;trash_can;['brushing teeth', 'dental floss', 'washing hands/face', 'drying hands/face', 'laundry', 'washing dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'using cell', 'making bed', 'cleaning house', 'reading book', 'putting on shoes/sucks', 'drinking coffee/tea']
5;shoes;['brushing teeth', 'washing hands/face', 'drying hands/face', 'laundry', 'washing dishes', 'moving dishes', 'making coffee', 'drinking water/bottle', 'making hot food', 'making cold food/snack', 'mopping in kitchen', 'vacuuming', 'watching tv', 'using cell', 'making bed', 'cleaning house', 'putting on shoes/sucks', 'drinking coffee/tea', 'grabbing water from tap']
6;fridge;['brushing teeth', 'drying hands/face', 'adjusting thermostat', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'vacuuming', 'taking pills', 'watching tv', 'using cell', 'cleaning house', 'drinking coffee/tea']
7;milk/juice;['drying hands/face', 'making tea', 'making coffee', 'drinking water/bottle', 'making hot food', 'making cold food/snack', 'eating food/snack', 'cleaning house', 'drinking coffee/tea']
8;microwave;['brushing teeth', 'washing hands/face', 'drying hands/face', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'vacuuming', 'taking pills', 'watching tv', 'using cell', 'cleaning house', 'drinking coffee/tea', 'grabbing water from tap', 'grabbing water from tap']
9;soap_liquid;['combing hair', 'make up', 'brushing teeth', 'dental floss', 'washing hands/face', 'drying hands/face', 'laundry', 'washing dishes', 'moving dishes', 'making tea', 'making coffee', 'drinking water/bottle', 'drinking water/tap', 'making hot food', 'making cold food/snack', 'eating food/snack', 'mopping in kitchen', 'vacuuming', 'taking pills', 'watching tv', 'using computer', 'cleaning house', 'reading book', 'using_mouth_wash', 'drinking coffee/tea', 'grabbing water from tap', 'grabbing water from tap']
